ciphertext,label
KYVKIVRJLIVZJSLIZVULEUVIKYVFCUFRBKIVVZWIVCVDVPEKVDCVIZKRIZYSFPLETRBLCCREZCDZKZI,Caesar
1f2d3c6b312b2e242a3e373c6b2c2a6b272c392c3c2f652c25213c39652d23207924293d6b2a3820652d39203c65650e2e65372e203d6b31366b363c28302b2e652d2320793b202b22283c3f202b6b2c3426203d22242d2e292065,XOR
8edb302d373c2720342e652088f3373f203427202b22652d2a373023653b243c2c2526386b2e2c2729382581e827289dfa80c63f81e8396b79182c3b2e37792c86e53d2037272c3267653b22293e22363832242b6b363038313c26293c392c3722653224372c2624793824372a319dfa219dfa3777,XOR
V2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4gSGF5YXQsIGJpc2lrbGV0ZSBiaW5tZWsgZ2liaWRpci4gRGVuZ2VkZSBkdXJtYWsgacOnaW4gaGFyZWtldCBldG1lbGlzaW5pei4=,Base64
0a372d222330282c3827653025313c2729302c2037282079223679222b2d2e293522223c25263c6b213c262a3738312b2a313c2f653b3265342a2631222b3c386b798edb302d373c2720342e652088f3373f203427202b22652d2a373023653b243c2c2526386b2e2c2729382581e827289dfa80c63f81e8396b,XOR
TmV0d29yayBzZWN1cml0eSBpbnZvbHZlcyBtYW55IGxheWVycyBvZiBwcm90ZWN0aW9uLiBXZSBuZWVkIHRvIHNlY3VyZSB0aGUgcGVyaW1ldGVyIGltbWVkaWF0ZWx5Lg==,Base64
SVVZJBUMCCMGLINCMZWREVMLARVVPEAKGEGXVIOFRLLVCKIWTCORGAARGJQTULKEIEWETEMGYQQUIEKVGHYBJICCSMGJFRXT,Vigenere
FTVABGXEXTKGBGZFHWXELKXJNBKXTEHMHYWTMTPXGXXWMHLXVNKXMAXIXKBFXMXKBFFXWBTMXER,Caesar
LLGKVXSWWIIBKFWIMXVYPUIKLLGFPWGEMKVXWXJVUNAGMSVHORHFBCMQRJSOWVVYIESDAUSZ,Vigenere
xZ5pZnJlbGVtZSB5w7ZudGVtbGVyaSB0YXJpaCBib3l1bmNhIGt1bGxhbsSxbG3EscWfdMSxci4gVGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4=,Base64
WEARMLOPCKVLSREWSBOPQBIOEMPOEJYXMPHYDEKKGFSRCVIYBRGXKKYHCVWPOUSSVCKPMDSDNERK,Vigenere
BPMYCQKSJZWEVNWFRCUXAWDMZBPMTIHGLWOUIKPQVMTMIZVQVOUWLMTAZMYCQZMITWBWNLIBI,Caesar
VKRIMHZKTIARBLMAXIKTVMBVXTGWLMNWRHYMXVAGBJNXLYHKLXVNKXVHFFNGBVTMBHGTMMTVDTMWTPGHGMAXOXKBYRYBXEW,Caesar
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
3a0c1dbbc51458111b0e185abbde1513591dbbc5001d155a0e1c5a1fbac6161cbfe7151356592e101c5a0c0b1f190a0f0a1c5a110a5a1a0c08111c1e580c141c1c08580d121d5915141d5a171811580d081d1c54,XOR
84dc2a2730262d272e24623a82f42d35272e2d273128623720302a2962212e3b362f21226129362d2e222f86f22d2f87f087dc3586f2336c63152a26613631242330343026612b30612036332b262562362f26263362372927632e2e27612d222a62373327266f,XOR
06243a232c372e65352e242b252c372c653424213c2736793920283e2c2b2e65386b29363f65362d653d2a31386565172e312e2437326b363c28302b2231206b2c373d2a353d202a6b2838253c792724202e372a6b2a3f6b352b24313c283130242b77,XOR
NPBABRVAIPUCQXLIYDSYVPAQNNJTELECASSPCWXRCEQSACCGTGORZECHJQWGHPXVNCEQGRAYLWGUOGSSTPKLAIBCIFFZZWRCFZIPOXUYAINIXVOY,Vigenere
V2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4gVGhlIHRyZWFzdXJlIGlzIGJ1cmllZCB1bmRlciB0aGUgb2xkIG9hayB0cmVlLg==,Base64
70404758545a525b525d125a5f46565d5e5a56575d525713584113585c47545e5f5855565f51561156565c5d5d42464150465655125148125e50515b585c56421c137c5350595b5d54125f5453415f5b5d56125e5e56565d4113435742445b41541252115e5c45125c5712575046521f,XOR
704647505158115347115652465c135e5c13455a56114456435b5548125558575f551c136657135f57565512475e1240545146435713455a56114256435b5e54465643125a5c5f56555b5245575f481c,XOR
06243a232c372e65352e242b252c372c653424213c2736793920283e2c2b2e65386b29363f65362d653d2a313865650e2e65372e203d6b31366b363c28302b2e652d2320793b202b22283c3f202b6b2c3426203d22242d2e292065,XOR
KWPTESOVWCMSOCCGBHCIGWUCALLRTYWCJPGWNDGIBFVYCFNWEBZGHKPWMMCIOGQDOSTKFTEOBPBDZ,Vigenere
SGINOTKRKGXTOTMSUJKRYXKWAOXKGRUZULJGZGTKZCUXQYKIAXOZEOTBURBKYSGTERGEKXYULVXUZKIZOUT,Caesar
FIVNSKCWGTYKAXAZROGPXVWFSRACERWVUFJIJSVVGMASPTVRHXQXVTHLAZWMZIRIEVLMEVEGVWVLHRGJVVGAFMSLILXSTJIVMVGTSFEYPZGTLMQE,Vigenere
SGF5YXQsIGJpc2lrbGV0ZSBiaW5tZWsgZ2liaWRpci4gRGVuZ2VkZSBkdXJtYWsgacOnaW4gaGFyZWtldCBldG1lbGlzaW5pei4gV2UgbmVlZCB0byBzZWN1cmUgdGhlIHBlcmltZXRlciBpbW1lZGlhdGVseS4=,Base64
VGhlIHRyZWFzdXJlIGlzIGJ1cmllZCB1bmRlciB0aGUgb2xkIG9hayB0cmVlLiBBdHRhY2sgYXQgZGF3biBvbiB0aGUgdmVyaWZ5IGZpZWxkLg==,Base64
05202d3c2a2b20652a2e262c392c2d32653025333627333c3865342a2b206b293832202b3865362d6529392a2d2e262d222a3765651a393c293f2a3e392429233c792236793f2d3c6b352b2a262d22263c6b24372f652a3f303d3265362d652d2e2631252c283e202a6b233639652a2e262c392079282a342630372226383f2c36256b,XOR
GYKGSPDMVMYPBNPSRTHFMOWKTHPVEWXLJYJNKIKOGRBIEMVWINFQVYIBPSWRAYGBEAMCTOELWMKEHWHZKOGFGCHEIQYIICIANLVMSKFOESGYMCFX,Vigenere
06243a232c372e65352e242b252c372c653424213c2736793920283e2c2b2e65386b29363f65362d653d2a31386565172e312e2437326b363c28302b2231206b2c373d2a353d202a6b2838253c792724202e372a6b2a3f6b352b24313c283130242b77,XOR
KATWJYNWFDACTADYAKSQSJKAKLWEDWJAFACGJMESKSFSLAVAJLZWLJWSKMJWAKTMJAWVMFVWJLZWGDVGSCLJWW,Caesar
AUPKXZBMZUPCMYSSRKXEXSFGWCINILZYUOHSKGRUMGGBRBIIXNVDQCECJSRGSNYOUSBWBLVMPHWYBHNGGCSTXLKRIJTTPNSE,Vigenere
VGhlIHF1aWNrIGJyb3duIGZveCBqdW1wcyBvdmVyIHRoZSBsYXp5IGRvZy4gQ3J5cHRvZ3JhcGh5IGlzIHRoZSBwcmFjdGljZSBhbmQgc3R1ZHkgb2YgdGVjaG5pcXVlcyBmb3Igc2VjdXJlIGNvbW11bmljYXRpb24u,Base64
NPBABRVAIPUCQXLIYDSYVPAQNNJTELECASSPCWXRCEQSAACBMSINQEYIYBIYLTOIACPQWVNEMPYIRMRPEOMQBNDBVNTPLFLMLKLVNPA,Vigenere
U2liZXIgZ8O8dmVubGlrLCBiaWxnaXNheWFyIHNpc3RlbWxlcmluaSBrb3J1bWEgc2FuYXTEsWTEsXIuIEJ1Z8O8biBoYXZhIMOnb2sgZ8O8emVsIHZlIGfDvG5lxZ9saS4=,Base64
f4ac5a5740565d575e54124af2845d45575e5d574158124750405a5912515e4b465f51521159465d5e525ff6825d5ff780f7ac45f682431c1379534a50461f11505a425b585d5747541251585c5e545913565b5158565a431c1375575d56575754125744405e50591358f194585c13595341545956451256455f565d5b40585c5a4b1c,XOR
1c207925203c2f652d24652a2e262c3920793f2d3c6b353c392c342e313c39653026283c2f2c383f2035326b7906243a232c372e65352e242b252c372c653424213c2736793920283e2c2b2e65386b29363f65362d653d2a313865,XOR
0324202a31756b2730382c3227202d2e653b222b342e2e792c2c3b222130396b790f20372c203d2e653d3e37342a2e792286fe222b7923242b2e2e3c3f653c3f283c272c2a222b30316b7906243a232c372e65352e242b252c372c653424213c2736793920283e2c2b2e65386b29363f65362d653d2a313865,XOR
QXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2UgaXMgaW50ZWxsaWdlbmNlIGRlbW9uc3RyYXRlZCBieSBtYWNoaW5lcy4gTmV0d29yayBzZWN1cml0eSBpbnZvbHZlcyBtYW55IGxheWVycyBvZiBwcm90ZWN0aW9uLg==,Base64
